tier,expr,label,yomi
easy,12x2=024,ji,てぃんににじ
easy,13x2=026,ji,いさんにふろ
easy,14x2=028,ji,ひょんににや
easy,12x3=036,ji,てぃんさみろ
easy,13x3=039,ji,いさんさみく
easy,21x2=042,ji,ふぃんにじぶ
easy,22x2=044,ji,ちんにしし
easy,23x2=046,ji,つんにしろ
easy,12x4=048,ji,てぃんししば
easy,24x2=048,ji,ちょんにしば
easy,31x2=062,ji,さいんにろぶ
easy,21x3=063,ji,ふぃんさむ
easy,32x2=064,ji,さにんにろし
easy,22x3=066,ji,ちんさろろ
easy,33x2=066,ji,すんにろろ
easy,34x2=068,ji,みょんにろば
easy,23x3=069,ji,つんさろき
easy,41x2=082,ji,しいんにはぶ
easy,21x4=084,ji,ふぃんしはし
easy,42x2=084,ji,しにんにはし
easy,43x2=086,ji,ゆんにはろ
easy,22x4=088,ji,ちんしわ
easy,44x2=088,ji,しょんにわ
easy,31x3=093,ji,さいんさくさ
easy,32x3=096,ji,さにんさきろ
easy,33x3=099,ji,すんさきき
easy,51x2=102,Ji·G0,こいんにとに
easy,52x2=104,Ji·G0,こにんにとし
easy,21x5=105,Ji·G0,ふぃんことら
easy,53x2=106,Ji·G0,こさんにとろ
easy,54x2=108,Ji·G0,ふぉんにとぱ
easy,51x4=204,Ji·G0,こいんしぶんし
easy,41x5=205,Ji·G0,しいんこぶんご
easy,52x4=208,Ji·G0,こにんしにんば
easy,61x5=305,Ji·G0,りんこみんご
easy,51x6=306,Ji·G0,こいんろさんる
easy,81x5=405,Ji·G0,はいんこしんご
easy,51x8=408,Ji·G0,こいんはしんや
easy,61x2=122,Ji,りんにいち
easy,41x3=123,Ji,しいんさひふみ
easy,31x4=124,Ji,さいんしいちょ
easy,62x2=124,Ji,ろにんにいちょ
easy,21x6=126,Ji,ふぃんろいふる
easy,42x3=126,Ji,しにんさいふる
easy,63x2=126,Ji,むんにいふる
easy,32x4=128,Ji,さにんしいにば
easy,64x2=128,Ji,りょんにいにば
easy,43x3=129,Ji,ゆんさいぶき
easy,71x2=142,Ji,うぃんにびょに
