# Tier1 易 — 足し算なし＋百の位なし(jI系) (236件)

## ji
12×2=024	いちがにじ
13×2=026	いみふつる
14×2=028	びょにがにや
12×3=036	ひふみみろ
13×3=039	いすがさき
21×2=042	にぃにじぶ
22×2=044	にちかしし
23×2=046	つぶはじむ
12×4=048	いちょがしは
24×2=048	ふじつしは
31×2=062	さてぃろぶ
21×3=063	にいさがむ
32×2=064	さちがろし
22×3=066	ちさがろろ
33×2=066	すにがろろ
34×2=068	みしつろば
23×3=069	にすがろき
41×2=082	しーつはぶ
21×4=084	にーしはし
42×2=084	しちがはし
43×2=086	ゆにがはろ
22×4=088	ちよがわ
44×2=088	しょぶがわ
31×3=093	みーみくさ
32×3=096	ざぶざきろ
33×3=099	みずがきき

## Ji·G0
51×2=102	らぴぶとに
52×2=104	こぷがとし
21×5=105	にーごとら
53×2=106	こみにとろ
54×2=108	こしつとぱ
51×4=204	こいしぶんし
41×5=205	よゐこぶんご
52×4=208	こぶしにんば
61×5=305	りこみんご
51×6=306	こいるさんる
81×5=405	はいごしんご
51×8=408	こいやしんや

## Ji
61×2=122	りにあいち
41×3=123	しーざひふみ
31×4=124	みーしいちょ
62×2=124	ろちがいちょ
21×6=126	ふぃるいんふ
42×3=126	よつんいんふ
63×2=126	むにいんふ
32×4=128	みにいにば
64×2=128	るしふいにば
43×3=129	ゆずいぶき
71×2=142	ないつびょに
72×2=144	なちいしし
73×2=146	ぬぶいじる
21×7=147	にーないしな
74×2=148	うゆにいしゃ
51×3=153	らいざぴらみ
31×5=155	ぷろがいだ
52×3=156	ごつごひころ
53×3=159	こすちひで
81×2=162	ばいぶいろち
41×4=164	しーじひろし
82×2=164	はちひろし
83×2=166	やみふいるる
21×8=168	にーやいろは
42×4=168	しちゅいろは
84×2=168	わしついろは
91×2=182	きてぃいぱ
61×3=183	りさいやみ
92×2=184	くちいやし
31×6=186	さいろいばる
62×3=186	るつぼいばる
93×2=186	くさついばる
94×2=188	きょふがいわ
21×9=189	ついきひやく
63×3=189	ろすひやく
71×3=213	ないすにいさ
72×3=216	なつふぃる
31×7=217	みーなにーな
73×3=219	なすついき
81×3=243	ばいざふゆ
61×4=244	りしんふじょ
41×6=246	しーるぶしろ
82×3=246	ばぶみぶしろ
31×8=248	さいばぷしゃ
62×4=248	るふゆぷしゃ
83×3=249	はさむふで
51×5=255	らいらぶた
91×3=273	かいさふなさ
92×3=276	くにみぷーる
31×9=279	さいきふね
93×3=279	きすまふね
71×4=284	ないよちゃば
41×7=287	ましろちゃう
72×4=288	なちょがふわ
81×4=324	はいじみに
41×8=328	じいぱみつは
82×4=328	はちょみつは
71×5=355	ないらみた
51×7=357	らいなそな
91×4=364	かいじすりゅ
61×6=366	りろみるる
92×4=368	かぶしさるや
41×9=369	じーくさめ
71×6=426	ないるしぶる
61×7=427	りながしちゅ
91×5=455	かいこしだ
51×9=459	らいくしごく
81×6=486	ばーるしゃろ
61×8=488	りはがじぱ
71×7=497	ないなしぐな
91×6=546	かいろこじろ
61×9=549	りくこゆき
81×7=567	ぱいなころな
71×8=568	ないやごむば
91×7=637	らーながむ
71×9=639	ないきろせと
81×8=648	ばいぱじょば
91×8=728	かいばなつは
81×9=729	ばいくなつき
91×9=819	かいぎばいく

## JI·E0·G0
22×5=110	ちこりりお
55×2=110	たにがりお
24×5=120	ちょこてぃん
26×5=130	ぶろこいさん
28×5=140	にぱはぴょん
42×5=210	ゆにこにーと
44×5=220	しょこぶぶん
55×4=220	たしぶぶん
46×5=230	しろこつみれ
48×5=240	しゃこふしん
62×5=310	ろぶこさと
64×5=320	じょうさぶん
55×6=330	だるすおみ
66×5=330	るるこすおみ
68×5=340	ろぼみしん
82×5=410	ばにらしと
84×5=420	はしごよぶん
86×5=430	やもりしみん
55×8=440	たばがしょ
88×5=440	ばーばがしょ

## JI·G0
56×2=112	ころにびてぃ
57×2=114	こうぶいーし
23×5=115	つららびーこ
58×2=116	ふぁにいーろ
59×2=118	てつてぃあ
25×5=125	ぶたてぃら
27×5=135	にのがいそ
29×5=145	ふきこひよこ
53×4=212	こさじにぃに
43×5=215	しそにーご
54×4=216	らしふぃる
56×4=224	ころしちよ
45×5=225	しだちこり
57×4=228	こうしがちゃ
58×4=232	こはしつぶ
47×5=235	しのつらら
59×4=236	こきゅがつる
49×5=245	しくらちょこ
