# Tier2 中 — 百の位あり・足し算あり・繰り上がらず (JI·E0 / JI) (276件)

## JI·E0
65×2=130	もぷりいさん
35×4=140	そしはぴょん
25×6=150	にころいられ
75×2=150	のぶいられ
32×5=160	さにひるま
34×5=170	さよこひなん
85×2=170	ぽにひなん
36×5=180	みるこいはん
45×4=180	しこしいはん
38×5=190	みほひぐれ
95×2=190	くらぶひぐれ
52×5=260	こつこぶろ
65×4=260	もじはぶろ
45×6=270	さいこちゅお
54×5=270	ごじらちゅお
35×8=280	そばがちゃん
56×5=280	ごるごちゃん
58×5=290	こぼちぇん
85×4=340	ほしみしん
45×8=360	よこばさろん
72×5=360	なつこさろん
74×5=370	なしこすれ
76×5=380	なむこみゃお
95×4=380	くらしみゃお
65×6=390	もろはぜろ
78×5=390	なほはぜろ
75×6=450	のろよごれ
92×5=460	くにこじろん
94×5=470	きょこがしゅれ
96×5=480	くもがしゃお
98×5=490	かほしぐれ
95×6=570	きこむこなん
85×8=680	ほばろはん
95×8=760	くらばなろう

## JI
22×6=132	ちろるいみふ
33×4=132	すしいみふ
44×3=132	しじみいみふ
66×2=132	るるぶいみふ
67×2=134	るーつひざし
45×3=135	よこさいそ
34×4=136	みししぴさろ
68×2=136	じゃにぴさろ
23×6=138	つるいさや
46×3=138	じむいさや
69×2=138	めにめいさや
47×3=141	しぬいしい
24×6=144	ぶしろいしし
36×4=144	すりゅいしし
48×3=144	しゃみいしし
49×3=147	しくみいしな
37×4=148	みなしいしゃ
38×4=152	みやしぴらふ
76×2=152	うるふぴらふ
22×7=154	ちなひこし
77×2=154	ななぶひこし
26×6=156	にむひころ
39×4=156	さぎょひころ
78×2=156	ゔぁふひころ
79×2=158	ねふひらや
23×7=161	つないるい
27×6=162	ぷーるいろち
54×3=162	こよみいろち
33×5=165	ささごいも
55×3=165	だずがいも
24×7=168	ちょういろは
28×6=168	ちゃるいろは
56×3=168	ごむいろは
57×3=171	こなみいない
43×4=172	しみゅひなつ
86×2=172	ばるぶひなつ
29×6=174	ぶくろひなし
58×3=174	ふぁみひなし
87×2=174	はなふひなし
25×7=175	ふごういの
35×5=175	みたがいの
22×8=176	ちゃがいなり
44×4=176	しょじいなり
88×2=176	わにいなり
59×3=177	てすいゔぉ
89×2=178	やきにいなば
26×7=182	ぷろないぱ
23×8=184	つばいやし
46×4=184	しろじいやし
37×5=185	みのもひばこ
47×4=188	しにょがいわ
27×7=189	ちゅなひやく
24×8=192	ぷしゃぴくに
32×6=192	みつるぴくに
48×4=192	しゃしぴくに
64×3=192	じょざぴくに
96×2=192	ぐろぴくに
97×2=194	かなぶぴくし
39×5=195	さきこひきこ
65×3=195	もみひきこ
28×7=196	ちゃうぴくる
49×4=196	しきゅぴくる
98×2=196	きゃぷぴくる
22×9=198	ちかがきゃ
33×6=198	すろとがきゃ
66×3=198	ろむがきゃ
99×2=198	けにがきゃ
74×3=222	なゆにちか
32×7=224	すぷがちよ
75×3=225	のみちこり
76×3=228	なるみがちゃ
33×7=231	すながつい
77×3=231	にゅさがつい
78×3=234	にゃすがつゆ
79×3=237	ねすがつな
34×7=238	みしゅがつば
35×7=245	そながちょこ
36×7=252	さるにこに
42×6=252	しぶるにこに
63×4=252	むしにこに
84×3=252	はしみにこに
85×3=255	ほさはぶた
32×8=256	みつはにころ
64×4=256	ろしにころ
43×6=258	しずるにこば
86×3=258	ぱむにこば
37×7=259	みゅうぶらき
87×3=261	はなみふりく
33×8=264	すばふろし
44×6=264	しょりふろし
66×4=264	るるふろし
88×3=264	はやさふろし
53×5=265	こぞぶろこ
38×7=266	さばんにむ
89×3=267	やくざぷろな
67×4=268	りゅしふろば
34×8=272	さしゃがちゅに
68×4=272	じゃしがちゅに
39×7=273	せなふなさ
55×5=275	たこがにの
46×6=276	しろろぷーる
69×4=276	じぇしぷーる
47×6=282	しゅろがちゃぷ
94×3=282	きよみちゃぷ
57×5=285	このみにぱ
95×3=285	くらみにぱ
32×9=288	さつきふわ
36×8=288	さるやふわ
48×6=288	しゃろがふわ
96×3=288	くろみふわ
97×3=291	がうすにかい
73×4=292	ぬしふきふ
42×7=294	しちゅにきし
49×6=294	しぇるにきし
98×3=294	きゃさにきし
59×5=295	てこふきこ
37×8=296	すーぱぶくろ
74×4=296	なしぶくろ
33×9=297	すきにくな
99×3=297	けさにくな
83×4=332	ばさしすに
42×8=336	よつはすろと
84×4=336	はしすろと
43×8=344	ゆばみしし
86×4=344	はるしみしし
87×4=348	はなしさしゃ
44×8=352	ししゃそにく
88×4=352	わしそにく
89×4=356	はくしぞろ
52×7=364	こふうすりゅ
73×5=365	なぞみるこ
46×8=368	しるばさるや
53×7=371	こみゅがない
62×6=372	るーぶすーぷ
93×4=372	かざしすーぷ
75×5=375	のがみのも
47×8=376	しゅぱすーる
94×4=376	きょしすーる
42×9=378	しふくすーぱ
54×7=378	こじゅすーぱ
63×6=378	るみるすーぱ
48×8=384	じぱみやし
64×6=384	じょるみやし
96×4=384	くるしみやし
55×7=385	たながみほ
77×5=385	なのがみほ
43×9=387	ゆきさばん
97×4=388	きなしさわ
49×8=392	しぇぱぜに
56×7=392	ころなぜに
98×4=392	かばじぜに
79×5=395	ねこさきこ
44×9=396	しょくがせる
66×6=396	るるるせる
99×4=396	けしがせる
57×7=399	こううさけ
72×6=432	なぷるゆに
62×7=434	ろちゅがしみゅ
73×6=438	ぬるがゆば
63×7=441	むはじじい
74×6=444	にょろがしょじ
64×7=448	じょながししゃ
65×7=455	もながしだ
76×6=456	うむさいこ
66×7=462	ろろなしるふ
77×6=462	うーるしるふ
93×5=465	くそしろこ
52×9=468	こづくしるば
78×6=468	にゃるしるば
67×7=469	りゅがしろき
79×6=474	ねろがしにょ
95×5=475	きたがしの
68×7=476	じゃながしゅろ
53×9=477	ごみきしゅな
69×7=483	るきなしゃみ
97×5=485	きのがしゃこ
54×9=486	こゆきしゃろ
82×6=492	ぱぶろしぇふ
55×9=495	たきしくら
99×5=495	きくらしくら
62×8=496	むちゃしぇる
83×6=498	ぱみえしぇぱ
92×6=552	かぶるたに
62×9=558	ろふきたば
93×6=558	きざるたば
94×6=564	きしむころし
63×9=567	ろせところな
82×7=574	やふうこうし
64×9=576	じょぎこうろ
72×8=576	なつはこうろ
96×6=576	くるるこうろ
83×7=581	やみなふぁい
97×6=582	ぐーるふぁに
73×8=584	うすばこはし
65×9=585	もくがこぼ
84×7=588	ばじがらぱ
98×6=588	きゃろがらぱ
74×8=592	なしはてつ
66×9=594	ろめおこきゅ
99×6=594	けろぐこきゅ
85×7=595	ほながてこ
92×7=644	きになろし
72×9=648	なつきじょば
93×7=651	きさなもびる
82×8=656	ばにやもろ
73×9=657	ぬかがもな
94×7=658	ぎしゅがもや
83×8=664	ぱさぱるる
95×7=665	きこうるるこ
74×9=666	にょきるるる
84×8=672	ばしゃるーつ
96×7=672	くるるーつ
75×9=675	なでるのあ
97×7=679	ぎゅうるーく
76×9=684	うめはじゃし
98×7=686	きばなじゃる
86×8=688	ぱるぱるんぱ
77×9=693	にゅきがめす
99×7=693	ききゅがめす
87×8=696	はなばめろ
92×8=736	くにばぬる
82×9=738	はづきうすば
93×8=744	かずはなし
83×9=747	はすきなしゅ
94×8=752	きしゃがのぶ
84×9=756	やしきのろ
85×9=765	ぱてなむこ
96×8=768	くろはうるゔ
86×9=774	はめがし
97×8=776	ぐにゃうーる
87×9=783	はねがにゃす
98×8=784	くぱがにゃし
88×9=792	わきがねふ
99×8=792	けばぶねふ
92×9=828	かふぇばにや
93×9=837	きさきやみな
94×9=846	きしきばじる
95×9=855	きこくはた
96×9=864	めいさはるし
97×9=873	きせきはなみ
98×9=882	きゃくがわに
99×9=891	くきはくい
