# Tier3 難 — 足し算が繰り上がる + (128件)

## jI+·E0
25×4=100	ぶらしいま
15×8=120	ひらやてぃん

## jI+
17×6=102	いなりとに
34×3=102	みゆがとに
13×8=104	いさやとし
26×4=104	ふろしとし
15×7=105	びこうとら
35×3=105	さんがとら
12×9=108	いぶきとぱ
18×6=108	いばるとぱ
27×4=108	ぶにゅがとぱ
36×3=108	さむがとぱ
37×3=111	みなみぴぴ
14×8=112	いしゃびてぃ
16×7=112	いろびてぃ
28×4=112	ちゃばびてぃ
19×6=114	ぴくるいーし
38×3=114	さばさいーし
29×4=116	にきしいーろ
13×9=117	いざきぴーな
39×3=117	せみぴーな
17×7=119	いゔぉぴーく
14×9=126	ひじきいんふ
18×7=126	ひばないんふ
16×8=128	いろはいにば
19×7=133	いくないす
15×9=135	ひでがいそ
17×8=136	いなばぴさろ
16×9=144	ひめいしし
18×8=144	いわいしし
19×8=152	きゃはぴらふ
17×9=153	いねぴらみ
18×9=162	ひやくいろち
19×9=171	ひきいない

## JI+·E0
25×8=200	にこばふれん
35×6=210	ぞろにーと
75×4=300	のしがさま
85×6=510	ほろぐごと
65×8=520	もやこぶん
75×8=600	のあろまん

## JI+
67×3=201	るーなにんい
29×7=203	にくなふんさ
34×6=204	みしろぶんし
68×3=204	じゃみぶんし
23×9=207	つきぶおう
69×3=207	めすぶおう
26×8=208	ふろばにんば
24×9=216	ふでふぃる
27×8=216	ちゅぱふぃる
36×6=216	みるるふぃる
37×6=222	すーるにちか
28×8=224	ふわがちよ
25×9=225	ぶらきちこり
38×6=228	さーばがちゃ
29×8=232	つくばつぶ
26×9=234	ろくがつゆ
39×6=234	せるがつゆ
27×9=243	ふねがふゆ
28×9=252	ちゃくにこに
29×9=261	にくふりく
43×7=301	ゆなはでれ
38×8=304	さわみんし
76×4=304	なるしみんし
34×9=306	さしきさんる
44×7=308	よしゅさんば
77×4=308	しがさんば
39×8=312	すぐはさてぃ
78×4=312	にゃしさてぃ
35×9=315	さんはぷろ
45×7=315	しらなぷろ
79×4=316	ねじさいろ
46×7=322	しろなさち
36×9=324	さめがみに
47×7=329	しゅなさつき
37×9=333	みねがみず
48×7=336	しゃなすろと
38×9=342	みゃくみしつ
49×7=343	しぐなみゆ
39×9=351	さけはぞい
67×6=402	るーるしんぷ
45×9=405	しごくしんご
58×7=406	ふぁなじんろ
68×6=408	じゃるしんや
59×7=413	こきゅしーざ
46×9=414	しろきしーじ
69×6=414	めろしーじ
47×9=423	よねよつん
48×9=432	しやくゆに
49×9=441	しかくじじい
56×9=504	こめこんし
63×8=504	るすばこんし
72×7=504	なつなこんし
84×6=504	ばじるこんし
73×7=511	ぬがこび
64×8=512	じょばらぴぶ
57×9=513	こねらいざ
86×6=516	ぱるるこいる
74×7=518	なしゅこいや
58×9=522	こべがこぷ
87×6=522	ばんなこぷ
75×7=525	ののこつこ
66×8=528	るんばらふぁ
88×6=528	わむうらふぁ
59×9=531	こきがこみ
76×7=532	うるうこみに
89×6=534	べろこさじ
67×8=536	ろうばこざる
77×7=539	なななごみき
68×8=544	るんぱらし
78×7=546	うばうこじろ
69×8=552	ろくはたに
79×7=553	くなはだず
86×7=602	はるなろーぷ
67×9=603	るーくろーざ
76×8=608	うるゔろーば
87×7=609	はにゅろんぐ
68×9=612	ろぺりにあ
77×8=616	にゅばがりろ
88×7=616	わながりろ
69×9=621	ろきるふぃ
89×7=623	やくなるつぼ
78×8=624	なぱるふゆ
79×8=632	ねばねむに
78×9=702	なべなんぶ
88×8=704	やわがしい
79×9=711	なくるなひ
89×8=712	へやないつ
89×9=801	ばけゔぁん
